ngram,freq
art .,566846
anos .,518672
brasil .,443762
etc .,421424
", por exemplo ,",417170
o rio de janeiro,381563
", ou seja ,",379763
isso .,359179
o brasil .,354457
país .,354417
ele .,343282
mundo .,334521
vida .,333541
ano .,299106
a o longo de,285021
o país .,283151
"em o brasil ,",281837
de acordo com o,271757
o mundo .,268532
tempo .,266951
", etc .",252424
trabalho .,246846
em o final de,242074
de acordo com a,242041
cidade .,234456
", a partir de",232112
outros .,230359
mais .,223679
o art .,220892
casa .,218389
paulo .,217219
ela .,214896
mesmo .,212406
dr .,211458
em o início de,211389
estado .,208744
de o rio de,205296
não .,204531
dia .,202546
o presidente de a,201544
são paulo .,199142
a partir de o,196866
pessoas .,190705
a cidade .,190559
a maioria de os,190462
em relação a o,189392
", uma vez que",188308
", no entanto ,",186832
a .,186470
", de acordo com",185391
a partir de a,185236
em o brasil .,185140
é um de os,181103
eles .,180721
em a hora de,179255
aqui .,174267
", por meio de",170635
deus .,170354
em a área de,168051
"de são paulo ,",167157
"rio de janeiro ,",164754
em o caso de,164589
dias .,163571
"em a verdade ,",160473
o final de o,160313
sr .,157895
bem .,157128
p .,156807
social .,156371
", um de os",155175
em a cidade de,152906
público .,152145
lo .,150706
saúde .,150524
o rio grande do,147206
em os estados unidos,147188
o estado .,147112
a o lado de,146930
nada .,146633
a maioria de as,146513
também .,145744
"por outro lado ,",143031
nacional .,141980
de o mundo .,141703
em o rio de,141370
de o país .,140738
local .,140551
região .,138761
o presidente de o,138111
mim .,137852
o início de a,137598
"de o mundo ,",137301
foto :,135207
por meio de a,132954
é uma de as,132326
brasileiro .,131571
o fim de o,131105
1 .,130584
o início de o,130048
em o meio de,129736
rio grande do sul,127222
com o objetivo de,126963
em o sentido de,126889
a vida .,126840
de ele .,126498
passado .,126143
em o centro de,124530
empresa .,124520
hoje .,124284
em relação a a,122445
estado de são paulo,122220
disse .,121555
federal .,121427
a maior parte de,121337
em o fim de,121327
"de o país ,",120833
em o ano passado,120763
"o ano passado ,",120300
janeiro .,120228
sociedade .,119847
de o ano passado,118752
o final de a,117122
de a cidade .,115670
de o estado de,115619
história .,115025
em a noite de,114691
você .,113854
outro .,113661
a história de o,113509
em a manhã de,112674
o sr .,112155
", p .",111530
de janeiro .,111460
governo .,111455
tudo .,111428
família .,111210
", em o dia",110407
de os estados unidos,110210
brasileira .,110170
a partir de as,109628
assim .,109339
todos .,109331
", além de a",108661
"por sua vez ,",108086
melhor .,107499
lá .,107487
o fim de a,107335
"de a cidade ,",107009
"os estados unidos ,",106851
"de o brasil ,",105881
o longo de o,105835
", isto é ,",105659
mercado .,105612
semana .,104383
a região .,103460
a história de a,103219
o ponto de vista,103149
"de o estado ,",102996
o caso de o,102837
nós .,102076
por meio de o,101898
sul .,101891
2014 .,101128
água .,100901
", além de o",100799
meses .,100451
horas .,100327
", a fim de",100146
de são paulo .,99933
em o interior de,99548
entre outros .,99363
s .,99075
"em são paulo ,",98780
o fato de que,98343
de o rio grande,97973
terra .,97721
exemplo .,97715
"ao mesmo tempo ,",97510
1 --,97241
em o âmbito de,97178
de o art .,96280
de o brasil .,95867
de deus .,95790
verdade .,95402
lugar .,95214
de trabalho .,95164
sociais .,95086
jogo .,94680
2016 .,94521
de a cidade de,94495
pública .,94464
internet .,94426
diferente .,93687
em a casa de,93492
", disse .",93155
rio de janeiro .,93132
a sociedade .,92853
", uma de as",92250
2 --,91725
em a maioria de,91589
de a história de,91573
2015 .,91491
la .,90806
por volta de as,90302
a empresa .,90014
o governo de o,89740
final .,89452
um de os mais,89444
este ano .,89414
em a tarde de,89256
momento .,89244
de o ponto de,88982
de a mesma forma,88881
muito .,88599
fonte :,88594
em os últimos anos,88235
coisa .,88158
"de essa forma ,",87833
o .,87598
de o estado .,87597
""" , disse .",87310
município .,87008
o lado de o,86977
al .,86906
de ela .,86796
o momento em que,86429
", por sua vez",86052
em o ano de,86042
possível .,85994
milhões .,85494
diz :,85338
") , em o",85166
de eles .,85070
sim .,84959
a o final de,84918
fazer .,84778
se .,84734
elas .,84448
o nome de o,84382
em o período de,84335
", ao mesmo tempo",84330
o caso de a,84231
minutos .,84207
em a década de,83765
como :,83531
em a forma de,83503
geral .,83491
em o site de,83468
vez .,83455
população .,83153
de a universidade de,82588
corpo .,82535
